G1161	CONJ	｛40.1.4｜40.1.4｝
G1080	V-AAI-3S	｛40.1.4｜40.1.4｝
G3588	T-ASM	｛40.1.4｜40.1.4｝
G284	N-ASM-P	｛40.1.4｜40.1.4｝
G284	N-NSM-P	｛40.1.4｜40.1.4｝
G1161	CONJ	｛40.1.4｜40.1.4｝
G1080	V-AAI-3S	｛40.1.4｜40.1.4｝
G3588	T-ASM	｛40.1.4｜40.1.4｝
G3476	N-ASM-P	｛40.1.4｜40.1.4｝
G3476	N-NSM-P	｛40.1.4｜40.1.4｝
G1161	CONJ	｛40.1.4｜40.1.4｝
G1080	V-AAI-3S	｛40.1.4｜40.1.4｝
G3588	T-ASM	｛40.1.4｜40.1.4｝
G4533	N-ASM-P	｛40.1.4｜40.1.4｝
G4533	N-NSM-P	｛40.1.5｜40.1.5｝
G1161	CONJ	｛40.1.5｜40.1.5｝
G1080	V-AAI-3S	｛40.1.5｜40.1.5｝
G3588	T-ASM	｛40.1.5｜40.1.5｝
G1003	N-ASM-P	｛40.1.5｜40.1.5｝
G1537	PREP	｛40.1.5｜40.1.5｝
G3588	T-GSF	｛40.1.5｜40.1.5｝
G4477	N-GSF-P	｛40.1.5｜40.1.5｝
G1003	N-NSM-P	｛40.1.5｜40.1.5｝
G1161	CONJ	｛40.1.5｜40.1.5｝
G1080	V-AAI-3S	｛40.1.5｜40.1.5｝
G3588	T-ASM	｛40.1.5｜40.1.5｝
G5601	N-ASM-P	｛40.1.5｜40.1.5｝
G1537	PREP	｛40.1.5｜40.1.5｝
G3588	T-GSF	｛40.1.5｜40.1.5｝
G4503	N-GSF-P	｛40.1.5｜40.1.5｝
G5601	N-NSM-P	｛40.1.5｜40.1.5｝
G1161	CONJ	｛40.1.5｜40.1.5｝
G1080	V-AAI-3S	｛40.1.5｜40.1.5｝
G3588	T-ASM	｛40.1.5｜40.1.5｝
